gene_symbol,transcript_id,TPM
PTPRU,ENST00000373779,0
MATN1,ENST00000373765,0.263827
LAPTM5,ENST00000294507,0.473673
SDC3,ENST00000339394,2.924128
PUM1,ENST00000426105,0
NKAIN1,ENST00000373736,0
SNRNP40,ENST00000263694,0
ZCCHC17,ENST00000344147,0
FABP3,ENST00000373713,68.92979
SERINC2,ENST00000373709,0
TINAGL1,ENST00000271064,0
PEF1,ENST00000373703,0
COL16A1,ENST00000373672,0
KHDRBS1,ENST00000327300,6.300776
TMEM39B,ENST00000336294,0
KPNA6,ENST00000373625,0.138383
TXLNA,ENST00000373610,13.848988
CCDC28B,ENST00000373602,9.84472
IQCC,ENST00000291358,12.934738
TMEM234,ENST00000309777,0
FAM167B,ENST00000373582,0
LCK,ENST00000336890,0
HDAC1,ENST00000373548,2.992776
MARCKSL1,ENST00000329421,21.123559
TSSK3,ENST00000373534,124.455577
BSDC1,ENST00000455895,1.69132
ZBTB8B,ENST00000609129,0.508082
ZBTB8A,ENST00000373510,4.547484
RBBP4,ENST00000373493,3.469218
SYNC,ENST00000409190,480.757006
KIAA1522,ENST00000401073,0
S100PBP,ENST00000373475,0.393253
FNDC5,ENST00000373471,0
HPCA,ENST00000373467,6.405393
TMEM54,ENST00000373463,0
RNF19B,ENST00000235150,0
ADC,ENST00000294517,7.39533
TRIM62,ENST00000291416,11.773858
ZNF362,ENST00000539719,0
A3GALT2,ENST00000442999,0
C1orf94,ENST00000488417,0.652083
GJB5,ENST00000338513,2.477148
GJB4,ENST00000339480,0.764219
GJB3,ENST00000373366,0
GJA4,ENST00000342280,3.645267
SMIM12,ENST00000521580,0
DLGAP3,ENST00000373347,0
ZMYM6,ENST00000357182,1.124451
ZMYM1,ENST00000359858,0
SFPQ,ENST00000357214,6.016775
ZMYM4,ENST00000314607,2.053094
KIAA0319L,ENST00000325722,0
NCDN,ENST00000373243,0
TFAP2E,ENST00000373235,0
PSMB2,ENST00000373237,0.437272
C1orf216,ENST00000270815,1.535505
CLSPN,ENST00000318121,0
AGO4,ENST00000373210,0.130036
AGO1,ENST00000373204,1.221002
AGO3,ENST00000373191,0.423429
TEKT2,ENST00000207457,0
ADPRHL2,ENST00000373178,1.954155
COL8A2,ENST00000397799,0
TRAPPC3,ENST00000373166,0
THRAP3,ENST00000354618,0
SH3D21,ENST00000453908,0
STK40,ENST00000373132,0.270831
LSM10,ENST00000315732,0
OSCP1,ENST00000235532,0
MRPS15,ENST00000373116,0
CSF3R,ENST00000373106,0
GRIK3,ENST00000373091,2.865615
ZC3H12A,ENST00000373087,3.037811
MEAF6,ENST00000296214,0
SNIP1,ENST00000296215,0
GNL2,ENST00000373062,0
RSPO1,ENST00000356545,0
CDCA8,ENST00000373055,0
EPHA10,ENST00000373048,0
YRDC,ENST00000373044,44.548383
C1orf122,ENST00000373042,0
MTF1,ENST00000373036,2.969699
INPP5B,ENST00000373024,0
SF3A3,ENST00000373019,1.08504
FHL3,ENST00000373016,0
UTP11L,ENST00000373014,0
POU3F1,ENST00000373012,0.336245
RRAGC,ENST00000373001,0
MYCBP,ENST00000397572,89.474907
GJA9,ENST00000357771,15.131894
RHBDL2,ENST00000372990,8.034621
AKIRIN1,ENST00000432648,0
NDUFS5,ENST00000372969,0
BMP8A,ENST00000331593,13.471005
PABPC4,ENST00000372858,0
HEYL,ENST00000372852,0
HPCAL4,ENST00000372844,0
PPIE,ENST00000324379,0
BMP8B,ENST00000372827,15.670507
OXCT2,ENST00000327582,0.583759
TRIT1,ENST00000316891,0
MYCL,ENST00000372816,0
MFSD2A,ENST00000372811,0
CAP1,ENST00000372805,0
RLF,ENST00000372771,0.457918
TMCO2,ENST00000372766,0
ZMPSTE24,ENST00000372759,0.335012
COL9A2,ENST00000372748,1.610633
SMAP2,ENST00000372718,1.031523
ZFP69B,ENST00000361584,0
ZFP69,ENST00000372706,17.309909
ZNF684,ENST00000372699,0
RIMS3,ENST00000372684,0
KCNQ4,ENST00000347132,0
CITED4,ENST00000372638,0
EDN2,ENST00000372587,0
HIVEP3,ENST00000372583,2.3e-5
GUCA2B,ENST00000372581,0
GUCA2A,ENST00000357001,0
FOXJ3,ENST00000361346,0
RIMKLA,ENST00000431473,1.237934
ZMYND12,ENST00000372565,0
PPCS,ENST00000372561,0
PPIH,ENST00000304979,0
YBX1,ENST00000321358,5.035691
CLDN19,ENST00000296387,0
LEPRE1,ENST00000296388,0
C1orf50,ENST00000372525,0.607343
CCDC23,ENST00000372521,0
ERMAP,ENST00000372517,0
SLC2A1,ENST00000426263,2.933639
FAM183A,ENST00000335282,0
EBNA1BP2,ENST00000236051,0
WDR65,ENST00000372492,0.457192
TMEM125,ENST00000439858,0
C1orf210,ENST00000523677,0
